Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
3376,William Penn Elementary,K-5,Bakersfield City,296,89.9,35.9,22.7
3377,Bertrand Avenue Elementary,K-5,Los Angeles Unified,422,84.4,35.8,23.4
3378,Grand View Elementary,K-6,Dinuba Unified,354,79.4,35.8,29.5
3379,Empire Springs Charter,K-12,Helendale Elementary,913,29.0,35.8,33.8
3380,Father Keith B. Kenny,K-8,Sacramento City Unified,437,90.2,35.8,29.1
3381,O. S. Hubbard Elementary,K-8,Alum Rock Union Elementary,525,92.8,35.8,23.8
3382,Pioneer Elementary,K-5,Weaver Union,1077,82.4,35.8,24.4
3383,Atwater Avenue Elementary,K-6,Los Angeles Unified,309,80.9,35.8,19.3
3384,August Knodt Elementary,K-8,Manteca Unified,870,75.4,35.8,28
3385,Bear River,4-8,Wheatland,566,46.3,35.8,17.6
3386,Valentine Peyton Elementary,K-8,Stockton Unified,886,71.2,35.8,31.6
3387,Palm Elementary,K-5,Beaumont Unified,669,73.8,35.8,25.7
3388,Leroy Nichols Elementary,K-6,Lodi Unified,387,78.0,35.8,24.1
3389,North Ranchito Elementary,K-5,El Rancho Unified,457,85.1,35.7,25.3
3390,Crestwood Street Elementary,K-6,Los Angeles Unified,421,58.2,35.7,22.1
3391,Shandon Elementary,K-8,Shandon Joint Unified,211,77.3,35.7,19.1
3392,West Vernon Avenue Elementary,K-5,Los Angeles Unified,740,95.1,35.7,23.1
3393,Addams Elementary,K-5,Long Beach Unified,928,94.5,35.7,27.2
3394,Yermo Elementary,K-8,Silver Valley Unified,291,80.4,35.7,16.1
3395,Laurel Creek Elementary,K-6,Fairfield-Suisun Unified,950,59.5,35.7,26.3
3396,McKinley Elementary,K-5,Tracy Joint Unified,444,67.1,35.7,21.1
3397,Horizon Elementary,K-5,Greenfield Union,821,88.2,35.7,24.1
3398,Birney Elementary,K-5,Long Beach Unified,690,75.8,35.7,26.5
3399,California Elementary,3-6,West Covina Unified,388,77.6,35.6,24.2
3400,Euclid Elementary,K-5,San Diego Unified,508,97.8,35.6,22
3401,Las Palmas,K-6,National Elementary,677,71.3,35.6,24.1
3402,Creston Elementary,K-6,Atascadero Unified,92,56.5,35.6,23
