,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
195,Jefferson Elementary,49.9,49.9,51.32666667,50.37555556,53.3,-2.924444444
229,Santa Ana Unified,46.27272727,77.66,27.18648649,50.37307125,30.5,19.87307125
145,Hayward Unified,54.77142857,67.9,28.42608696,50.36583851,35.6,14.76583851
269,South San Francisco Unified,41.56666667,56.6,52.68888889,50.28518519,55.3,-5.014814815
292,Bishop Unified,39.35,70.3,40.4,50.01666667,41.3,8.716666667
260,Bassett Unified,42.6,66.5,40.8,49.96666667,45,4.966666667
226,Los Angeles Unified,46.53559322,62.72550336,40.36135182,49.87414947,41.9,7.974149465
190,Sacramento City Unified,50.22142857,65.02222222,33.94561404,49.72975494,38.8,10.92975494
170,Waterford Unified,52,64,33.15,49.71666667,45.3,4.416666667
297,Newark Unified,38.75,61.7,48.32857143,49.59285714,50.4,-0.807142857
113,Lakeport Unified,60.3,60.3,27.8,49.46666667,42.8,6.666666667
245,Lompoc Unified,44.06666667,61.35,42.81,49.40888889,44.3,5.108888889
140,Mountain Empire Unified,55.76666667,55.76666667,36.56,49.36444444,42.4,6.964444444
290,Lincoln Unified,39.6,63,45.18888889,49.26296296,45.4,3.862962963
248,Paradise Unified,43.825,67.85,36.1,49.25833333,43.2,6.058333333
257,Nevada County Office Of Education,42.73333333,59.35,45.325,49.13611111,53.8,-4.663888889
173,Redding Elementary,51.7,51.7,43.875,49.09166667,48.4,0.691666667
138,Mammoth Unified,55.9,55.9,35.1,48.96666667,49.2,-0.233333333
233,San Juan Unified,45.38125,60.36,40.49148936,48.74424645,42.4,6.344246454
180,Mariposa County Unified,50.8,50.8,44.475,48.69166667,55,-6.308333333
279,Oceanside Unified,40.175,64.6,39.66666667,48.14722222,45.2,2.947222222
339,Beaumont Unified,32.9,58.8,52.44285714,48.04761905,48.4,-0.352380952
124,Lucerne Valley Unified,58.85,58.85,25.8,47.83333333,39,8.833333333
153,Butte County Office Of Education,53.7,53.7,35.95,47.78333333,,47.78333333
169,Ukiah Unified,52.04,62.175,29.03333333,47.74944444,41.5,6.249444444
220,Princeton Joint Unified,47.3,47.3,48.5,47.7,52.1,-4.4
255,Calaveras Unified,42.85,74.3,25.94,47.69666667,32.7,14.99666667
253,Visalia Unified,43.125,59,40.53076923,47.55192308,45.1,2.451923077
289,Pasadena Unified,39.7375,56.14,46.665,47.51416667,44.7,2.814166667
181,Cloverdale Unified,50.8,50.8,40.9,47.5,40,7.5
274,El Rancho Unified,40.7,69.3,32.4,47.46666667,37.2,10.26666667
223,Oakland Unified,47.08518519,64.38235294,30.37571429,47.28108414,34.9,12.38108414
310,Maxwell Unified,37.3,37.3,66.4,47,53.2,-6.2
263,Norwalk-La Mirada Unified,42.25,53.16666667,45.55294118,46.98986928,45.9,1.089869281
322,Windsor Unified,35.2,62.2,43.4,46.93333333,44.2,2.733333333
323,El Dorado County Office Of Education,35.15,56.7,48.8,46.88333333,45.9,0.983333333
242,West Contra Costa Unified,44.31666667,62.08571429,34.22051282,46.87429792,36.5,10.37429792
298,Acton-Agua Dulce Unified,38.72857143,54.675,47.21666667,46.8734127,38.9,7.973412698
205,Stockton Unified,48.69230769,72.14285714,19.72553191,46.85356558,22.3,24.55356558
218,Sierra-Plumas Joint Unified,47.8,47.8,44.9,46.83333333,,46.83333333
247,Dixon Unified,43.9,62.4,34.2,46.83333333,43.3,3.533333333
268,Eureka City Schools,41.75,73.1,25.625,46.825,29.6,17.225
300,Inglewood Unified,38.64,75,26.3375,46.65916667,28.2,18.45916667
246,Hemet Unified,44.0375,62.38,32.8,46.40583333,36.4,10.00583333
317,Bear Valley Unified,35.75,59.3,43.85,46.3,42.5,3.8
294,Liberty Elementary,39.2,39.2,59.93333333,46.11111111,42.3,3.811111111
293,Liberty Elementary,39.2,39.2,59.93333333,46.11111111,50.1,-3.988888889
273,Sonoma Valley Unified,40.85,70.2,26.2,45.75,34.9,10.85
251,Marysville Joint Unified,43.525,54.73333333,38.63571429,45.63134921,40.8,4.831349206
167,Ferndale Unified,52.2,52.2,32.4,45.6,51.7,-6.1
314,Turlock Unified,36.4,66.65,33.55555556,45.53518519,35.6,9.935185185
116,Gustine Unified,60,60,16.35,45.45,25.7,19.75
128,Hamilton Unified,56.8,56.8,22.3,45.3,37.2,8.1
267,Fresno Unified,41.93125,63.5375,30.32173913,45.26349638,30.4,14.86349638
147,John Swett Unified,54.2,54.2,27.3,45.23333333,39.3,5.933333333
295,Baldwin Park Unified,39.16,62.8,33.72307692,45.22769231,34.5,10.72769231
351,Selma Unified,31.4,71.8,32.34285714,45.18095238,34.1,11.08095238
348,Kerman Unified,31.75,54.4,49.25,45.13333333,44.3,0.833333333
276,Valley Center-Pauma Unified,40.35,70.5,24.26666667,45.03888889,28,17.03888889
280,Morongo Unified,40.16666667,55.1,39.68181818,44.98282828,41.3,3.682828283
278,Porterville Unified,40.2625,63.75,29.71,44.57416667,33.9,10.67416667
139,Kelseyville Unified,55.9,55.9,21.85,44.55,31.5,13.05
225,Jurupa Unified,46.6,55.875,31.075,44.51666667,34.6,9.916666667
230,New Jerusalem Elementary,46.16666667,61.03333333,25.6625,44.2875,35.4,8.8875
179,Pierce Joint Unified,50.9,50.9,31,44.26666667,37.8,6.466666667
137,Tulelake Basin Joint Unified,55.9,55.9,20.6,44.13333333,40.4,3.733333333
183,Riverdale Joint Unified,50.5,50.5,30.5,43.83333333,36,7.833333333
258,Alvord Unified,42.725,53.66666667,34.68571429,43.69246032,37.1,6.592460317
346,Linden Unified,31.9,53.3,45.63333333,43.61111111,43.1,0.511111111
296,Lake Elsinore Unified,38.76,55.66666667,36.39333333,43.60666667,39.2,4.406666667
232,Pajaro Valley Unified,45.41666667,57.85,27.09473684,43.45380117,30.3,13.15380117
286,Val Verde Unified,39.85,49.83333333,40.49166667,43.39166667,39.6,3.791666667
288,Woodland Joint Unified,39.76666667,54.9,35.38181818,43.34949495,38.1,5.249494949
