,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017)
302,Manteca Unified,38.35,52.34000000000001,32.72000000000001,41.13666666666668,39.0
307,Antioch Unified,37.733333333333334,59.6,25.475,40.93611111111111,30.9
320,Palmdale Elementary,35.36666666666667,65.8,21.05652173913043,40.741062801932365,21.8
210,Piner-Olivet Union Elementary,48.1,48.1,25.900000000000002,40.7,35.5
238,Mendota Unified,44.8,44.8,31.75,40.449999999999996,32.2
308,Riverbank Unified,37.5,62.2,21.366666666666664,40.355555555555554,31.2
325,Stanislaus County Office Of Education,35.0,60.4,25.45,40.28333333333334,27.1
265,Gorman Joint,42.1,42.1,36.05,40.083333333333336,41.3
193,Modoc Joint Unified,49.9,49.9,19.8,39.86666666666667,35.5
344,Los Banos Unified,32.075,51.1,36.144444444444446,39.77314814814815,33.9
354,Tehachapi Unified,30.299999999999997,44.8,44.0,39.699999999999996,44.5
304,Hesperia Unified,38.02222222222222,50.583333333333336,29.96470588235294,39.523420479302835,29.4
285,Oro Grande Elementary,39.9,63.9,14.433333333333332,39.41111111111111,20.9
171,Big Valley Joint Unified,52.0,52.0,13.8,39.266666666666666,30.099999999999998
332,Borrego Springs Unified,34.2,55.5,27.9,39.199999999999996,32.3
340,San Jacinto Unified,32.8,52.5,31.087500000000002,38.795833333333334,35.9
178,McFarland Unified,51.1,51.1,14.0,38.733333333333334,21.3
335,Alpaugh Unified,33.65,55.6,26.75,38.666666666666664,29.4
239,Jamestown Elementary,44.5,44.5,26.5,38.5,35.6
365,Dehesa Elementary,27.825,42.0,45.58,38.468333333333334,44.8
217,Woodlake Unified,47.8,47.8,19.5,38.36666666666667,34.1
186,Orland Joint Unified,50.3,50.3,14.1,38.23333333333333,25.6
326,San Bernardino City Unified,34.766666666666666,52.6375,27.05849056603774,38.154219077568136,28.300000000000004
345,Twin Rivers Unified,31.941666666666666,53.260000000000005,28.928125000000005,38.043263888888895,28.800000000000004
234,Meridian Elementary,45.3,45.3,23.3,37.96666666666666,
303,Fontana Unified,38.17142857142857,49.1,26.486206896551725,37.919211822660095,27.200000000000003
374,Central Unified,24.566666666666666,46.9,42.064285714285724,37.843650793650795,41.0
283,South Bay Union Elementary,40.0,40.0,32.650000000000006,37.550000000000004,
301,Moreno Valley Unified,38.357142857142854,50.019999999999996,23.87391304347826,37.41701863354037,23.9
362,Paramount Unified,28.450000000000003,47.6,36.03636363636363,37.36212121212122,38.1
357,Warner Unified,29.5,48.2,34.35,37.35,
254,Golden Feather Union Elementary,42.9,42.9,26.1,37.300000000000004,36.0
214,Esparto Unified,47.9,47.9,15.8,37.199999999999996,22.4
327,Colton Joint Unified,34.75,42.73333333333333,33.983333333333334,37.15555555555555,34.0
222,Williams Unified,47.2,47.2,16.9,37.1,
